순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수
1,범죄도시 2,2022.5.18,"131,295,799,478",14.50%,"12,693,195","2,521","355,765"
2,탑건: 매버릭,2022.6.22,"87,732,820,602",9.70%,"8,165,687","1,975","248,783"
3,한산: 용의 출현,2022.7.27,"73,655,639,377",8.10%,"7,258,076","2,223","217,601"
4,공조2: 인터내셔날,2022.9.7,"68,000,199,650",7.50%,"6,624,892","2,389","237,776"
5,닥터 스트레인지: 대혼돈의 멀티버스,2022.5.4,"62,648,774,870",6.90%,"5,884,595","2,691","211,097"
6,헌트,2022.8.10,"44,587,492,054",4.90%,"4,351,000","1,625","170,845"
7,쥬라기 월드: 도미니언,2022.6.1,"29,237,071,310",3.20%,"2,837,410","2,218","86,427"
8,마녀(魔女) Part2. The Other One,2022.6.15,"28,922,488,670",3.20%,"2,806,501","1,796","94,940"
9,토르: 러브 앤 썬더,2022.7.6,"29,505,081,721",3.20%,"2,716,306","2,143","107,527"
10,미니언즈2,2022.7.20,"21,988,862,172",2.40%,"2,267,414","1,394","78,942"
11,비상선언,2022.8.3,"20,926,361,328",2.30%,"2,058,762","1,734","73,043"
12,스파이더맨: 노 웨이 홈,2021.12.15,"19,496,498,450",2.10%,"1,991,050","2,162","131,941"
13,육사오(6/45),2022.8.24,"19,720,155,480",2.20%,"1,971,430","1,339","105,682"
14,헤어질 결심,2022.6.29,"19,543,417,334",2.20%,"1,883,964","1,374","78,876"
15,외계+인 1부,2022.7.20,"15,987,858,548",1.80%,"1,538,508","1,959","68,410"
16,해적: 도깨비 깃발,2022.1.26,"12,523,963,990",1.40%,"1,339,242","1,708","117,320"
17,브로커,2022.6.8,"12,585,063,030",1.40%,"1,260,884","1,594","66,200"
18,신비한 동물들과 덤블도어의 비밀,2022.4.13,"12,305,212,580",1.40%,"1,195,443","2,207","106,090"
19,더 배트맨,2022.3.1,"9,339,130,700",1.00%,"904,238","2,370","97,370"
20,씽2게더,2022.1.5,"8,186,997,050",0.90%,"883,973","1,251","72,562"
21,킹메이커,2022.1.26,"7,318,959,610",0.80%,"775,968","1,185","80,072"
22,정직한 후보2,2022.9.28,"7,213,873,492",0.80%,"756,375","1,318","60,076"
23,언차티드,2022.2.16,"7,116,304,100",0.80%,"730,924","1,536","77,036"
24,경관의 피,2022.1.5,"6,687,389,520",0.70%,"679,503","1,187","57,409"
25,인생은 아름다워,2022.9.28,"6,386,460,940",0.70%,"667,434","1,285","55,995"
26,극장판 주술회전 0,2022.2.17,"6,527,966,187",0.70%,"655,132",843,"66,402"
27,극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,2022.6.1,"5,477,087,710",0.60%,"581,223",809,"14,101"
28,이상한 나라의 수학자,2022.3.9,"5,045,088,520",0.60%,"534,250","1,357","72,423"
29,명탐정 코난: 할로윈의 신부,2022.7.13,"4,995,884,128",0.60%,"479,871",758,"19,036"
30,모비우스,2022.3.30,"4,669,517,390",0.50%,"475,928","1,696","71,160"
31,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,2022.9.28,"4,618,681,978",0.50%,"461,747",873,"15,717"
32,늑대사냥,2022.9.21,"4,742,967,474",0.50%,"456,152","1,226","38,834"
33,뽀로로 극장판 드래곤캐슬 대모험,2022.7.28,"4,191,306,075",0.50%,"447,571",748,"17,843"
34,특송,2022.1.12,"4,172,193,200",0.50%,"443,177",996,"48,006"
35,니 부모 얼굴이 보고 싶다,2022.4.27,"3,948,631,280",0.40%,"416,375","1,008","39,189"
36,놉,2022.8.17,"4,702,282,135",0.50%,"415,243","1,031","31,740"
37,킹스맨: 퍼스트 에이전트,2021.12.22,"4,159,334,510",0.50%,"406,904",913,"27,268"
38,배드 가이즈,2022.5.4,"3,779,400,170",0.40%,"400,053",844,"22,864"
39,뜨거운 피,2022.3.23,"3,782,750,970",0.40%,"398,090","1,279","53,956"
40,버즈 라이트이어,2022.6.15,"3,510,462,460",0.40%,"344,558",844,"21,867"
41,그대가 조국,2022.5.25,"3,110,252,870",0.30%,"333,633",601,"11,222"
42,수퍼 소닉2,2022.4.6,"2,848,373,410",0.30%,"315,123","1,129","27,104"
43,DC 리그 오브 슈퍼-펫,2022.8.10,"2,322,641,159",0.30%,"248,798",585,"13,069"
44,나일 강의 죽음,2022.2.9,"2,242,081,480",0.20%,"232,883","1,041","34,168"
45,아바타 리마스터링,2022.9.21,"3,895,090,540",0.40%,"230,712",285,"9,881"
46,극장판 헬로카봇: 수상한 마술단의 비밀,2022.9.28,"1,870,900,286",0.20%,"198,777",790,"9,749"
47,문폴,2022.3.16,"1,962,779,300",0.20%,"195,346","1,174","32,498"
48,앵커,2022.4.20,"1,651,791,610",0.20%,"171,255","1,032","26,638"
49,극장판 엄마 까투리: 도시로 간 까투리 가족,2022.9.8,"1,584,603,399",0.20%,"169,969",616,"9,239"
50,공기살인,2022.4.22,"1,473,339,250",0.20%,"158,265",756,"20,626"
